pitcher_id,pitch_type,pitches,start_speed,ivb,hb,spin_rate,launch_angle,whiff rate,proportion
676265,FF,639,91.4,17.2,9.1,2354.0,28.0,0.31384615384615383,0.492
676265,KC,580,83.7,-7.0,-3.2,2369.0,8.0,0.2783882783882784,0.446
676265,SL,78,86.7,5.7,5.3,2249.0,8.0,0.3684210526315789,0.06
676265,,2,,,,,,nan,0.002
690953,FF,1047,94.7,15.6,7.5,2244.0,17.0,0.27615062761506276,0.5
690953,SL,353,84.6,-0.4,-0.9,2250.0,13.0,0.34146341463414637,0.169
690953,CU,350,81.1,-12.0,-8.1,2501.0,-5.0,0.35135135135135137,0.167
690953,SI,204,93.9,11.2,14.9,2130.0,4.0,0.16,0.097
690953,CH,136,87.9,5.2,11.8,1624.0,11.0,0.23076923076923078,0.065
690953,,3,,,,,,nan,0.001
664856,FF,430,92.7,11.7,4.6,2171.0,15.0,0.14678899082568808,0.431
664856,CH,165,87.4,6.2,13.4,1756.0,8.0,0.1917808219178082,0.165
664856,SL,153,84.7,2.2,-7.0,2745.0,15.0,0.30158730158730157,0.153
664856,ST,125,83.1,2.6,-13.0,2809.0,21.0,0.3387096774193548,0.125
664856,SI,115,92.1,9.9,11.7,2115.0,14.0,0.09375,0.115
664856,CU,9,79.4,-7.0,-10.9,2767.0,14.0,0.0,0.009
664856,,1,,,,,,nan,0.001
672851,FF,492,93.7,14.2,8.9,2206.0,19.0,0.20361990950226244,0.381
672851,CU,224,79.9,-7.2,-9.0,2399.0,14.0,0.37962962962962965,0.173
672851,SI,222,93.1,11.1,15.2,2139.0,11.0,0.12903225806451613,0.172
672851,CH,221,86.5,5.6,13.9,1993.0,21.0,0.3508771929824561,0.171
672851,SL,131,86.4,6.1,-3.2,2147.0,14.0,0.234375,0.101
672851,,2,,,,,,nan,0.002
687924,SI,395,94.4,11.6,13.0,2057.0,14.0,0.1619047619047619,0.508
687924,SL,151,79.6,4.7,-9.5,2125.0,27.0,0.30952380952380953,0.194
687924,CH,151,84.3,3.6,13.9,1552.0,8.0,0.2571428571428571,0.194
687924,CU,77,78.9,-6.8,-6.7,2138.0,23.0,0.3076923076923077,0.099
687924,,4,,,,,,nan,0.005
669920,SI,816,89.3,-0.1,16.0,1953.0,-6.0,0.11436950146627566,0.367
669920,CH,650,79.1,-0.1,17.0,1713.0,14.0,0.4,0.293
669920,ST,497,78.3,1.4,-13.7,2399.0,19.0,0.22564102564102564,0.224
669920,FC,166,86.4,7.3,0.8,2144.0,26.0,0.22666666666666666,0.075
669920,FF,79,91.4,11.7,14.0,2217.0,7.0,0.16129032258064516,0.036
669920,SL,8,81.0,7.9,-2.3,2338.0,4.0,0.3333333333333333,0.004
669920,,5,,,,,,0.0,0.002
663465,FF,656,90.2,16.3,-5.9,2020.0,20.0,0.23510971786833856,0.462
663465,CH,290,82.3,8.4,-13.4,1597.0,12.0,0.3246753246753247,0.204
663465,FC,224,83.9,5.1,5.1,2073.0,19.0,0.1919191919191919,0.158
663465,CU,131,72.2,-13.9,7.2,1941.0,14.0,0.30434782608695654,0.092
663465,SI,118,90.6,14.0,-13.1,1959.0,15.0,0.09615384615384616,0.083
663465,,2,,,,,,nan,0.001
663531,FF,498,90.4,14.2,-8.2,1975.0,11.0,0.17452830188679244,0.308
663531,FC,352,86.5,6.9,2.2,2168.0,16.0,0.16847826086956522,0.218
663531,FS,282,79.3,4.0,-8.5,1290.0,7.0,0.3625,0.174
663531,ST,239,80.2,0.8,9.1,2470.0,23.0,0.3381294964028777,0.148
663531,CU,131,77.2,-7.1,6.3,2602.0,27.0,0.29508196721311475,0.081
663531,SI,115,88.6,9.6,-13.0,1879.0,0.0,0.16071428571428573,0.071
663531,,1,,,,,,nan,0.001
671106,FF,336,90.5,15.2,-7.6,2103.0,16.0,0.152317880794702,0.405
671106,ST,213,77.8,0.3,14.3,2241.0,10.0,0.41935483870967744,0.257
671106,CH,178,81.3,3.9,-3.4,926.0,18.0,0.3103448275862069,0.214
671106,FC,103,84.4,5.2,5.6,2143.0,14.0,0.30952380952380953,0.124
656186,FF,319,96.2,13.2,11.2,2269.0,15.0,0.2054794520547945,0.475
656186,SL,309,90.2,4.4,-2.4,2505.0,6.0,0.25949367088607594,0.46
656186,CH,40,91.6,1.8,16.1,1772.0,4.0,0.20833333333333334,0.06
656186,,4,,,,,,nan,0.006
665660,FF,686,98.1,12.9,14.7,2346.0,14.0,0.4043887147335423,0.722
665660,SL,166,86.8,3.0,1.0,2157.0,19.0,0.36486486486486486,0.175
665660,SI,70,95.9,5.0,18.1,2393.0,0.0,0.0967741935483871,0.074
665660,CH,26,87.9,5.7,16.1,1840.0,5.0,0.0,0.027
665660,,1,,,,,,nan,0.001
665660,ST,1,79.2,0.6,5.2,2126.0,,nan,0.001
674841,FF,499,90.7,14.4,-3.3,2183.0,15.0,0.13043478260869565,0.391
674841,FC,298,82.6,-3.4,3.7,2493.0,10.0,0.3582089552238806,0.234
674841,SI,253,90.0,7.7,-12.7,2042.0,-1.0,0.15454545454545454,0.198
674841,SL,145,78.7,-11.7,9.0,2570.0,2.0,0.22448979591836735,0.114
674841,CH,80,84.8,3.7,-10.7,1824.0,-2.0,0.1935483870967742,0.063
674841,,1,,,,,,nan,0.001
689379,SL,423,79.9,3.7,-7.2,2433.0,18.0,0.3910891089108911,0.417
689379,FF,314,90.3,7.1,12.9,2102.0,31.0,0.22727272727272727,0.31
689379,SI,203,89.7,-0.3,15.1,2117.0,8.0,0.10185185185185185,0.2
689379,CH,45,84.8,-5.2,13.5,2107.0,-1.0,0.2777777777777778,0.044
689379,FC,26,83.5,9.2,-0.0,2383.0,39.0,0.25,0.026
689379,,2,,,,,,nan,0.002
